time,channel_idx
47455.4,229
47455.4,239
47456.0,71
47456.1,1
47456.200000000004,4
47456.200000000004,52
47456.3,186
47456.4,45
47456.5,41
47456.6,189
47456.6,220
47456.700000000004,54
47456.700000000004,226
47456.8,65
47456.9,49
47457.0,182
47457.1,125
47457.1,240
47457.200000000004,86
47457.200000000004,100
47457.3,185
47457.3,195
47457.4,150
47457.5,230
47457.5,239
47458.0,8
47458.1,7
47458.3,87
47458.5,1
47458.5,45
47458.5,71
47458.5,193
47458.8,41
47459.0,220
47459.1,49
47459.200000000004,98
47459.200000000004,171
47459.5,59
47459.6,97
47459.6,195
47459.8,54
47459.9,103
47459.9,229
47460.0,164
47460.0,240
47460.5,125
47460.6,45
47460.6,100
47460.700000000004,1
47460.700000000004,65
47460.700000000004,230
47460.8,87
47461.0,182
47461.1,71
47461.1,150
47461.1,193
47461.200000000004,4
47461.3,52
47461.3,83
47461.3,86
47461.5,84
47461.9,54
47461.9,93
47462.1,220
47462.1,239
47462.200000000004,195
47462.200000000004,240
47462.8,65
47462.9,100
47462.9,230
47463.1,1
47463.1,45
47463.1,87
47463.1,229
47463.200000000004,182
47463.4,49
47463.5,193
47463.6,4
47463.6,71
47463.6,86
47463.8,16
47463.8,89
47463.8,125
47464.0,107
47464.3,52
47464.700000000004,54
47464.8,7
47464.9,189
47464.9,195
47465.4,1
47465.4,150
47465.4,182
47465.6,193
47465.700000000004,220
47465.700000000004,229
47465.8,65
47466.1,71
47466.1,175
47466.200000000004,186
47466.3,125
47466.3,230
47466.4,52
47466.4,171
47466.700000000004,240
47466.8,87
47466.8,100
47466.9,7
47467.0,97
47467.1,45
47467.4,54
47467.4,195
47467.6,1
47467.8,98
47467.9,93
47467.9,150
47468.0,103
47468.1,49
47468.200000000004,226
47468.200000000004,229
47468.4,65
47468.4,186
47468.5,182
47468.6,71
47468.9,125
47469.0,100
47469.200000000004,52
47469.200000000004,193
47469.3,171
47469.3,189
47469.6,54
47469.6,195
47469.700000000004,97
47469.8,240
47470.200000000004,107
47470.3,1
47470.4,45
47470.4,93
47470.5,220
47470.6,4
47470.6,229
47470.700000000004,182
47471.1,100
47471.200000000004,150
47471.3,83
47471.3,86
47471.4,125
47471.5,84
47471.6,7
47471.6,230
47471.700000000004,65
47471.8,98
47471.8,193
47471.9,185
47471.9,189
47472.0,54
47472.200000000004,89
47472.200000000004,97
47472.3,171
47472.4,71
47472.8,182
47472.9,81
47472.9,229
47473.0,195
47473.1,4
47473.5,100
47473.5,175
47473.6,1
47473.8,65
47473.9,230
47474.200000000004,45
47474.200000000004,189
47474.3,219
47474.4,193
47474.5,150
47474.700000000004,54
47475.0,87
47475.200000000004,229
47475.3,89
47475.3,125
47475.3,195
47475.4,71
47475.8,86
47475.8,182
47476.1,65
47476.200000000004,7
47476.200000000004,100
47476.3,239
47476.4,45
47476.4,240
47476.8,1
47476.8,54
47477.3,87
47477.6,71
47477.700000000004,195
47477.700000000004,229
47477.9,4
47478.3,89
47478.3,100
47478.5,97
47478.6,230
47478.700000000004,220
47478.9,54
47478.9,150
47479.0,1
47479.0,86
47479.200000000004,182
47479.200000000004,239
47479.6,45
